City,State,Country,Full Address,Longitude,Latitude,Region,Institution/Organization,Domain
Bonn,,Germany,"Bonn, Germany",7.0982068,50.73743,Europe,MPI Collective Goods,Psychology
Eindhoven,,Netherlands,"Eindhoven, Netherlands",5.4697225,51.44164199999999,Europe,Eindhoven,Psychology
Grenoble,,France,"Grenoble, France",5.724524,45.188529,Europe,Université Grenoble Alpes,Psychology
Riverside,California,USA,"Riverside, California, USA",-117.3754942,33.9806005,North America,University of California - Riverside,Psychology
Tacoma,Washington,USA,"Tacoma, Washington, USA",-122.4442906,47.2528768,North America,Pacific Lutheran,Psychology
Philadelphia,Pennsylvania,USA,"Philadelphia, Pennsylvania, USA",-75.1652215,39.9525839,North America,Haverford College,Econ
Berkeley,California,USA,"Berkeley, California, USA",-122.272747,37.8715926,North America,BITSS,Econ
Cambridge,,England,"Cambridge, England",0.121817,52.205337,United Kingdom,University of Cambridge,
Toronto,,Canada,"Toronto, Canada",-79.3831843,43.653226,North America,University of Toronto,Psychology
Quebec,,Canada,"Quebec, Canada",-71.2079809,46.8138783,North America,McGill,business/psych
Ontario,,Canada,"Ontario, Canada",-85.323214,51.253775,North America,Queens University,Library (engineering)
Munich,,Germany,"Munich, Germany",11.5819805,48.1351253,Europe,Ludwig-Maximilians-Universität München,Psychology
Mexico City,,Mexico,"Mexico City, Mexico",-99.133208,19.4326077,South America,,
Stockholm,,Sweden,"Stockholm, Sweden",18.0685808,59.32932349999999,Europe,Stockholm University,Medical Sciences
Charlotte ,North Carolina,USA,"Charlotte , North Carolina, USA",-80.8431267,35.2270869,North America,University of North Carolina- Charlotte,Management/Business
Springfield,Missouri,USA,"Springfield, Missouri, USA",-93.29229889999999,37.2089572,North America,Missouri State,psych/stats
Philadelphia,Pennsylvania,USA,"Philadelphia, Pennsylvania, USA",-75.1652215,39.9525839,North America,Haverford College,Libraries
Gainesville,Florida,USA,"Gainesville, Florida, USA",-82.32482619999999,29.6516344,North America,University of Florida,
Santa Barbara,California,USA,"Santa Barbara, California, USA",-119.6981901,34.4208305,North America,National Center for Ecological Analysis and Synthesis,Ecology
Charlottesville,Virginia,USA,"Charlottesville, Virginia, USA",-78.47667810000002,38.0293059,North America,University of Virginia,Library
Juiz de Fora,,Brazil,"Juiz de Fora, Brazil",-43.3433999,-21.7624237,South America,Federal University of Juiz de Fora,
Corvallis,Oregon,USA,"Corvallis, Oregon, USA",-123.2620435,44.5645659,North America,Oregon State University ,Libraries
